Arizona Counties,1990,2000,2010,2020
Mohave,93497,156215,200336,217206
La Paz,13844,19611,20499,21480
Yuma,106895,160576,197148,217824
Coconino,96591,116773,134624,142481
Yavapai,107714,168608,210990,240226
Maricopa,2122000,3092000,3825000,4579000
Pinal,116397,181280,379206,480828
Santa Cruz,29676,38589,47402,46808
Gila,40216,51332,53565,54303
Navajo,77674,97689,107693,112112
Apache,61591,69507,71828,71875
Graham,26554,33511,37154,39211
Greenlee,8008,8547,8342,9341
Cochise,97264,118132,131823,127450
Pima,666957,848019,981649,1061000